policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,0,big,data/instances/ilbb/test_instances/neos18.mps.gz,25498,21726,213.27,0.0,infeasible,0,0,231.37037949077785,235.19713878900075
gcnn:baseline,1,big,data/instances/ilbb/test_instances/neos18.mps.gz,28371,20808,181.13,0.0,infeasible,0,0,197.77174206264317,201.8167106059991
gcnn:baseline,2,big,data/instances/ilbb/test_instances/neos18.mps.gz,12261,10025,86.24,0.0,infeasible,0,0,93.99803196825087,95.71575555400341
gcnn:baseline,3,big,data/instances/ilbb/test_instances/neos18.mps.gz,36036,30373,230.25,0.0,infeasible,0,0,252.14773767255247,257.0083563169974
gcnn:baseline,4,big,data/instances/ilbb/test_instances/neos18.mps.gz,351246,274413,1829.23,0.0,infeasible,0,0,2008.138923747465,2051.4392423460013
internal:relpscost,0,big,data/instances/ilbb/test_instances/neos11.mps.gz,1983,2812,166.45,0.0,infeasible,207,0,176.16720720939338,176.2477753589992
internal:relpscost,1,big,data/instances/ilbb/test_instances/neos11.mps.gz,2138,3173,172.36,0.0,infeasible,299,0,182.0746031086892,182.16184669700306
internal:relpscost,2,big,data/instances/ilbb/test_instances/neos11.mps.gz,2951,4225,221.52,0.0,infeasible,460,0,234.59480214491487,234.7058869090033
internal:relpscost,3,big,data/instances/ilbb/test_instances/neos11.mps.gz,2321,3615,196.92,0.0,infeasible,397,0,208.30049264617264,208.40137046799646
internal:relpscost,4,big,data/instances/ilbb/test_instances/neos11.mps.gz,4210,6446,312.34,0.0,infeasible,769,0,331.1065186429769,331.26296570300474
gcnn:baseline,0,big,data/instances/ilbb/test_instances/neos11.mps.gz,4232,3939,153.87,0.0,infeasible,0,0,162.78150269575417,163.39797871200426
gcnn:baseline,1,big,data/instances/ilbb/test_instances/neos11.mps.gz,2361,2508,140.91,0.0,infeasible,0,0,148.20928032137454,148.57761167200078
gcnn:baseline,2,big,data/instances/ilbb/test_instances/neos11.mps.gz,1672,1825,101.81,0.0,infeasible,0,0,107.15635891072452,107.38926374800212
gcnn:baseline,3,big,data/instances/ilbb/test_instances/neos11.mps.gz,702,810,30.45,0.0,infeasible,0,0,32.06921677105129,32.17143176000536
